E100009;Punched In;12/05/2021 12:14:37
E100009;Punched Out;12/05/2021 12:14:38
E100009;Punched In;12/06/2021 19:50:23
E100009;Punched In;12/06/2021 19:50:24
E100009;Punched In;12/06/2021 19:50:24
E100009;Punched In;12/06/2021 19:50:25
E100009;Punched In;12/06/2021 19:50:25
E100009;Punched In;12/06/2021 19:50:26
E100009;Punched In;12/06/2021 19:50:26
E100009;Punched In;12/06/2021 19:50:26
E100009;Punched Out;12/06/2021 19:50:27
E100009;Punched In;12/06/2021 19:50:28
E100009;Punched Out;12/06/2021 19:50:28
E100009;Punched In;12/06/2021 19:50:29
E100009;Punched Out;12/06/2021 19:50:29
E100009;Punched In;12/06/2021 19:50:30
E100009;Punched Out;12/06/2021 19:50:31
E100009;Punched In;12/06/2021 19:50:31
E100009;Punched Out;12/06/2021 19:50:32
